pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
?b?dhayati,pr,"pr, caus of ",?b?dheti,,,oppresses; afflicts,ncped,?b?dhay,ati pr,1,1
aba?aba?a,adj,adj,abalabala,,,"very foolish, very feeble; babbling (?)",ncped,aba?aba?,a adj,1,0
abbahana,nt,nt,"['abbuhana', 'abb?hana']",,,"(from abbahati) pulling out, drawing out",ncped,abbahan,a nt,1,0
abbahati,pr,pr,"['abbuhati', 'abb?hati']",,,"tears up or off; pulls out, draws out",ncped,abbah,ati pr,1,1
abb?hitv?,abs,abs of,abbahati,,,"having torn up; having pulled out, having drawn out",ncped,-,,1,1
abbajati,pr,pr,,,,"comes to, returns to",ncped,abbaj,ati pr,1,1
abbhaghana,adj,adj,abbha,,,a mass of clouds; a thick cloud,ncped,abbhaghan,a adj,1,1
abbhantarapassaya,adj,adj,abbantara,,,"resting inside, in the heart",ncped,abbhantarapassay,a adj,1,1
abbhanumodita,masc,masc,,,,(from abbhanumodati) one who approves; one who praises,ncped,?dikatt,a masc,1,0
abbhanumoditar,masc,masc,,,,(from abbhanumodati) one who approves; one who praises,ncped,abbhanumodit,ar masc,1,0
abbhasama,adj,adj,abbha,,,like a cloud; high as the sky,ncped,abbhasam,a adj,1,1
abbhatireka,adj,adj,,,,excessive; very great,ncped,abbhatirek,a adj,1,1
abbhattha? y?ti,idiom,idiom,abbhattha?,,,"disappears, comes to an end",ncped,!,abbhattha? y?ti,1,1
abbhita,pp,pp of ,abbheti,,,"recalled, rehabilitated",ncped,abbhit,a pp,1,1
abbhok?s?,adj,adj,,,,"(an ascetic or bhikkhu) living in the open, in the open air",ncped,abbhok?s,? adj,1,0
abbhucittaj?ta,adj,adj,abbhuta,,,astonished,ncped,abbhucittaj?t,a adj,1,1
abbhud?h?si,aor,aor of ,,,,"(he) uttered, introduced (a subject of conversation)",ncped,abbhud?,hari aor,1,0
abbhudayati,pr,pr,abbhudeti,,,rises (as the sun); rises over,ncped,abbhuday,ati pr,1,0
abbhud?rayati,pr,pr,abbhud?reti,,,raises (the voice); utters,ncped,abbhud?ray,ati pr,1,0
abbhud?reti,pr,pr,abbhud?rayati,,,raises (the voice); utters,ncped,abbhud?r,eti pr,1,0
abbhuggahetv?,abs,abs of ,abbhuggacchati,,,pulling up,ncped,-,,1,1
abbhujjalana,nt,nt,abbhuggacchati,,,"breathing out fire, spitting fire",ncped,abbhujjalan,a nt,1,1
abbhu?,ind,ind,abhu(?),,,an exclamation of horror or fright or aversion,ncped,-,,1,3
abbhunnadita,adj,adj,,,,resounding; made to resound,ncped,abbhunnadit,a adj,1,1
abbhunnamati,pr,pr,,,,rises; springs up,ncped,abbhunnam,ati pr,1,1
abbhunnameti,pr,"pr, caus of ","['abbhunn?meti', 'abbhunnamati']",,,"holds up, raises; makes erect",ncped,abbhunnam,eti pr,1,2
abbhunn?meti,pr,"pr, caus of ","['abbhunnameti', 'abbhunnamati']",,,"holds up, raises; makes erect",ncped,abbhunn?m,eti pr,1,2
abbhussahana,nt,nt,,,,"effort, exertion, endeavor; encouragement",ncped,abbhussahan,a nt,1,1
abbhussukkam?na,adj,adj,abbhussakkam?na,,,rising towards; ascending to,ncped,abbhussukkam?n,a adj,1,1
abbhus?yaka,adj,adj,,,,"indignant at, impatient of",ncped,abbhus?yak,a adj,1,1
abbhuta? karoti,idiom,idiom,,,,makes a wager; lays a bet,ncped,!,abbhuta? karoti,1,1
abbhu??h?ti,pr,pr,abbhuggacchati,,,rises to go towards; starts for,ncped,abbhu??h,?ti pr,1,1
abbudda,masc,masc,,,,"the name of a hell, or place in Av?ci, where one suffers for an abbuda of years",ncped,?d?sak,a masc,5,1
abbudda,nt,nt,,,,a swelling,ncped,abbudd,a nt,5,1
abbudda,nt,nt,,,,the human embryo in the second week after conception,ncped,abbudd,a nt,5,1
abbudda,nt,nt,,,,"(metaphor.) a tumor, a cancer",ncped,abbudd,a nt,5,0
abbudda,nt,nt,,,,a certain high numeral; a great number (of years),ncped,abbudd,a nt,5,0
abbuhana,nt,nt,"['abbahana', 'abb?hana']",,,"(from abbahati) pulling out, drawing out",ncped,abbuhan,a nt,1,0
abb?hana,nt,nt,"['abbahana', 'abbuhana']",,,"(from abbahati) pulling out, drawing out",ncped,abb?han,a nt,1,0
abbu?ha,pp,pp of ,abbuhati,,,drawn out; pulled out; removed,ncped,abbu?h,a pp,1,2
abb??hasalla,adj,adj,abb??ha,,,drawn out; pulled out; removed,ncped,abb??hasall,a adj,1,2
abh?sitv?,abs,abs of ,,,,uttering; having spoken,ncped,-,,1,1
?bha?a,adj,adj,?bhata,,,"brought, carried; handed down, transmitted",ncped,?bha?,a adj,1,1
?bheti,pr,pr,?bh?ti,,,"shines; irradiates, illumines",ncped,?bh,eti pr,1,1
abhibhakkayitv?,abs,abs of ,abhippas?dati,,,eating; having eaten,ncped,-,,1,1
abhibhuyyac?r?,adj,adj,abhibhuyya,,,wandering victorious,ncped,abhibhuyyac?r,? adj,1,1
abhicchanna,adj,adj,abhichanna,,,covered (with),ncped,abhicchann,a adj,1,0
abhidanta,masc,masc,abhidanta?,,,against the teeth or the upper teeth,ncped,?p?det,a masc,1,2
