	entry	grammar	definition	xr
0				
1	aṁsa	masculine	shoulder	
2	aṁsakūṭa	masculine, neuter	“shoulder prominence”; the shoulder	['aṁsa', 'kūṭa']
3	aṁsabaddha	masculine	a shoulder strap	
4	aṁsabandhaka	masculine	a shoulder strap	
5	aṁsā	feminine (& masculine plural?)	a particular disease, hemorrhoids, piles	
6	akaṁ	1 singular		karoti
7	akaṁsu	3 plural		karoti
8	akakkasa	adjective	not harsh; not rough; smooth	kakkasa
9	akaṅkha	adjective	without doubts, without uncertainty	kaṅkhā
10	akaṅkha	adjective	without desire, with no wishes	kaṅkhā
11	akaṅkhin	adjective	free from doubts, without uncertainty	kaṅkhi(n)
12	akaṅkhi	adjective	free from doubts, without uncertainty	kaṅkhi(n)
13	akaṭa	adjective	not made; not artificial, natural	karoti
14	akaṭayūsa	masculine, neuter	untreated soup, bean water without added oil	['akaṭa', 'karoti']
15	akaṭavidha	adjective	whose form or arrangement is not made, is not ordered	['akaṭa', 'karoti']
16	akaṭānudhamma	adjective	not dealt with according to the rule, not restored	['akaṭa', 'karoti']
17	akaṭṭhapāka	adjective	ripening in uncultivated ground; growing wild	kaṭṭha
18	akaṇa	adjective	without bran; with the bran removed	kaṇa
19	akaṇika	adjective	free from blemish	kaṇika
20	akaṇṭaka	adjective	free from thorns; free from obstacles; free from rebels or bandits	kaṇṭaka
21	akaṇha	adjective	not dark, light; not evil	kaṇha
22	akata	negative adjective & neuter	not made, not done; not manufactured, not treated, natural; not fashioned; what has not been done; what is not made (nibbāna)	kata
23	akatupāsana	negative adjective		katupāsana
24	akataññu	negative adjective; a+kata+jānāti	ungrateful	kataññu
25	akataññu	negative adjective; a+kata+jānāti	knowing what is not made (nibbāna)	kataññu
26	akatabhīruttāṇa	negative adjective		katabhīruttāṇa
27	katabhīruttāṇa	adjective	who has prepared a protection from fear or danger; who has prepared a protection for the fearful	kata
28	akatamallaka	masculine or neuter	an unworked scraper	akata
29	akataludda	negative adjective		kataludda
30	akatavedin	negative adjective		katavedi(n)
31	akatavedi	negative adjective		katavedi(n)
32	akatahattha	negative adjective		katahattha
33	akattha	2 plural		karoti
34	akathaṁkathin	adjective	free from doubt	kathaṁkathi(n)
35	akathaṁkathi	adjective	free from doubt	kathaṁkathi(n)
36	akaddama	adjective	free from mud; pure	kaddama
37	akaniṭṭha	~ā masculine plural	the name of one of the highest classes of devas, the fifth class of suddhāvāsas	
38	akaniṭṭhagāmin	adjective	going to the akaniṭṭha world	
39	akaniṭṭhagāmi	adjective	going to the akaniṭṭha world	
40	akanta	adjective	not desired or wished; unpleasing	kanta
41	akantika	adjective	unpleasant	kantika
42	akantiya	adjective	unpleasant	kantiya
43	akantena	instrumental adverb	unpleasantly; in an undesired way	kantena
44	akantehi	instrumental adverb	unpleasantly; in an undesired way	kantehi
45	akappakata	adjective	(what is) not made allowable; not marked	kappakata
46	akappayi	aorist 3 singular		kappeti
47	akappayiṁsu	3 plural		kappeti
48	akappayuṁ	3 plural		kappeti
49	akappiya	adjective	not lawful or acceptable (for bhikkhus or bhikkhunīs); unsuitable, improper	kappiya
50	akappiya	adjective	not to be theorized about; not subject to imaginings	kappiya
51	akampittha	aorist 3 singular		kampati
52	akampin	adjective; a+kampati	not shaking, not trembling	kampati
53	akampi	adjective; a+kampati	not shaking, not trembling	kampati
54	akampita	negative adjective	not trembling; not shaken	kampita
55	akamma	neuter	lack of action; not working; non-activity; not a proper or valid act of the saṅgha	kamma
56	akammañña	adjective	not ready or fit for any act or use	kammañña
57	akammaniya	adjective id	not ready or fit for any act or use	kammaniya
58	akammāsa	adjective	spotless; without blemish	kammāsa
59	akāyūpaga	negative adjective		kāyūpaga
