pali	grammar	meaning	from
aṃsa	masculine	shoulder	
aṃsakūṭa	masculine, neuter	“shoulder prominence”; the shoulder	['aṁsa', 'kūṭa']
aṃsabaddha	masculine	a shoulder strap	
aṃsabandhaka	masculine	a shoulder strap	
aṃsā	feminine (& masculine plural?)	a particular disease, hemorrhoids, piles	
akakkasa	adjective	not harsh; not rough; smooth	kakkasa
akaṅkha	adjective	without doubts, without uncertainty	kaṅkhā
akaṅkha	adjective	without desire, with no wishes	kaṅkhā
akaṅkhī	adjective	free from doubts, without uncertainty	kaṅkhi(n)
akaṅkhi	adjective	free from doubts, without uncertainty	kaṅkhi(n)
akaṭa	adjective	not made; not artificial, natural	karoti
akaṭayūsa	masculine, neuter	untreated soup, bean water without added oil	['akaṭa', 'karoti']
akaṭavidha	adjective	whose form or arrangement is not made, is not ordered	['akaṭa', 'karoti']
akaṭānudhamma	adjective	not dealt with according to the rule, not restored	['akaṭa', 'karoti']
akaṭṭhapāka	adjective	ripening in uncultivated ground; growing wild	kaṭṭha
akaṇa	adjective	without bran; with the bran removed	kaṇa
akaṇika	adjective	free from blemish	kaṇika
akaṇṭaka	adjective	free from thorns; free from obstacles; free from rebels or bandits	kaṇṭaka
akaṇha	adjective	not dark, light; not evil	kaṇha
akata	negative adjective & neuter	not made, not done; not manufactured, not treated, natural; not fashioned; what has not been done; what is not made (nibbāna)	kata
akataññu	negative adjective; a+kata+jānāti	ungrateful	kataññu
akataññu	negative adjective; a+kata+jānāti	knowing what is not made (nibbāna)	kataññu
katabhīruttāṇa	adjective	who has prepared a protection from fear or danger; who has prepared a protection for the fearful	kata
akatamallaka	masculine or neuter	an unworked scraper	akata
akathaṃkathī	adjective	free from doubt	kathaṁkathi(n)
akathaṃkathi	adjective	free from doubt	kathaṁkathi(n)
akaddama	adjective	free from mud; pure	kaddama
akaniṭṭha	~ā masculine plural	the name of one of the highest classes of devas, the fifth class of suddhāvāsas	
akaniṭṭhagāmī	adjective	going to the akaniṭṭha world	
akaniṭṭhagāmi	adjective	going to the akaniṭṭha world	
akanta	adjective	not desired or wished; unpleasing	kanta
akantika	adjective	unpleasant	kantika
akantiya	adjective	unpleasant	kantiya
akantena	instrumental adverb	unpleasantly; in an undesired way	kantena
akantehi	instrumental adverb	unpleasantly; in an undesired way	kantehi
akappakata	adjective	(what is) not made allowable; not marked	kappakata
akappiya	adjective	not lawful or acceptable (for bhikkhus or bhikkhunīs); unsuitable, improper	kappiya
akappiya	adjective	not to be theorized about; not subject to imaginings	kappiya
akampī	adjective; a+kampati	not shaking, not trembling	kampati
akampi	adjective; a+kampati	not shaking, not trembling	kampati
akampita	negative adjective	not trembling; not shaken	kampita
akamma	neuter	lack of action; not working; non-activity; not a proper or valid act of the saṅgha	kamma
akammañña	adjective	not ready or fit for any act or use	kammañña
akammaniya	adjective id	not ready or fit for any act or use	kammaniya
akammāsa	adjective	spotless; without blemish	kammāsa
